species	enzyme	status	nt_len	aa_len	blocks	introns	strand	seqid	prot_path	cds_path
Psilocybe_acutissima_GAM00011063.scaffolds	PsiD	OK	1293.0	430.0	0	0	-	NODE_42_length_72616_cov_19.030528	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiD.cds.fa
Psilocybe_acutissima_GAM00011063.scaffolds	PsiK	OK	1062.0	353.0	0	0	+	NODE_42_length_72616_cov_19.030528	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiK.cds.fa
Psilocybe_acutissima_GAM00011063.scaffolds	PsiM	CHECK_ORF	930.0	25.0	0	0	-	NODE_42_length_72616_cov_19.030528	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiM.cds.fa
Psilocybe_acutissima_GAM00011063.scaffolds	PsiH	OK	1521.0	506.0	0	0	+	NODE_42_length_72616_cov_19.030528	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_acutissima_GAM00011063.scaffolds/Psilocybe_acutissima_GAM00011063.scaffolds_PsiH.cds.fa
Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds	PsiD	OK	1299.0	432.0	0	0	+	NODE_3997_length_2069_cov_38.736354	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiD.cds.fa
Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds	PsiK	OK	516.0	171.0	0	0	+	NODE_24836_length_539_cov_36.558252	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiK.cds.fa
Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds	PsiM	OK	933.0	310.0	0	0	+	NODE_1784_length_5409_cov_33.028966	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiM.cds.fa
Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds	PsiH	OK	726.0	241.0	0	0	+	NODE_10071_length_957_cov_47.633735	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds/Psilocybe_angustipleurocystidiata_ISOTYPE_NY-761597.scaffolds_PsiH.cds.fa
Psilocybe_apelliculosa_UBC-F17545.scaffolds	PsiD	NO_HIT			0	0				
Psilocybe_apelliculosa_UBC-F17545.scaffolds	PsiK	NO_HIT			0	0				
